,CQP,ETR,PPL,EIX,PCG,DTE,VLO,ED,MPLX,WMB,PXD,WEC,MPC,PEG,PSX,EOG,ES,KMI,XEL,SRE,AEP,EXC,EPD,COP,D,SO,DUK,NEE,CVX,XOM
2015-04-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-09,0.4099998474121094,-1.9899978637695312,0.05999946594238281,-0.3000030517578125,-0.02010059356689453,0.279998779296875,-0.09999847412109375,-0.7249984741210938,0.46000003814697266,0.13000011444091797,2.5250015258789062,-0.9199981689453125,-0.05999946594238281,-0.0800018310546875,-0.10499954223632812,-0.0149993896484375,-0.839996337890625,0.43000030517578125,-0.030002593994140625,0.39499664306640625,-0.7450027465820312,0.3299980163574219,0.1298999786376953,0.9249992370605469,0.31500244140625,-0.1699981689453125,0.7949981689453125,0.34375,0.5800018310546875,0.4213981628417969
2015-04-10,0.2700004577636719,-1.2849960327148438,-0.24499893188476562,-0.5499992370605469,-0.054900169372558594,-1.6100006103515625,0.0,0.19000244140625,0.1700000762939453,0.0149993896484375,-2.4599990844726562,0.06500244140625,-0.05999946594238281,-0.15999984741210938,0.15999984741210938,-0.75,-0.6699981689453125,0.11499977111816406,-0.45999908447265625,-1.2900009155273438,-0.285003662109375,0.035003662109375,0.14009952545166016,-0.4650001525878906,-0.7649993896484375,-0.22999954223632812,-0.28499603271484375,-0.907501220703125,-0.7399978637695312,-0.30699920654296875
2015-04-13,-0.5400009155273438,-0.2350006103515625,-0.2950000762939453,-0.05999755859375,-0.07999992370605469,0.029998779296875,-1.3599014282226562,-0.3600006103515625,0.029999732971191406,-0.17999935150146484,-1.9950027465820312,0.06499481201171875,-1.6300010681152344,-0.3400001525878906,-2.1399993896484375,-1.1100006103515625,-0.1300048828125,-0.3150005340576172,0.10499954223632812,-0.23999786376953125,-0.40999603271484375,-0.05500030517578125,-0.19999980926513672,-0.5499992370605469,-0.6800003051757812,-0.2700004577636719,-1.220001220703125,-0.21500015258789062,-2.0200042724609375,-0.6243972778320312
2015-04-14,-0.4699993133544922,-0.8199996948242188,-0.19339942932128906,0.20499801635742188,-0.029999732971191406,-0.04000091552734375,-0.03009796142578125,-0.01000213623046875,-0.125,0.16859912872314453,0.6700057983398438,-0.2299957275390625,0.4398994445800781,0.229400634765625,0.6800003051757812,0.02500152587890625,-0.18000030517578125,0.034999847412109375,-0.3250007629394531,-0.7999954223632812,-0.5800018310546875,0.05999755859375,0.0,-0.09499931335449219,-0.548004150390625,-0.3699989318847656,-0.5800018310546875,0.13750076293945312,0.6300048828125,-0.020000457763671875
2015-04-15,0.6200008392333984,-0.9250030517578125,-0.17660140991210938,-0.06499862670898438,0.19499969482421875,-0.17499542236328125,-1.5699996948242188,-0.5,0.625,-0.12360000610351562,-0.4900054931640625,-0.02500152587890625,-0.4698982238769531,-0.46939849853515625,-1.2400016784667969,-0.5050010681152344,-0.29999542236328125,-0.024999618530273438,-0.31999969482421875,-0.19000244140625,-0.06500244140625,-0.31999969482421875,0.36499977111816406,-0.44500160217285156,-0.46199798583984375,-0.15000152587890625,-0.3000030517578125,0.3149986267089844,-1.279998779296875,-0.5300025939941406
2015-04-16,1.6399993896484375,0.4550018310546875,-0.05499839782714844,0.23999786376953125,-0.3099994659423828,-1.0449981689453125,1.2899971008300781,0.3600006103515625,0.3249998092651367,0.3100004196166992,2.0100021362304688,-0.0149993896484375,0.779998779296875,0.14999771118164062,1.5699996948242188,0.4949989318847656,-0.48000335693359375,0.2049999237060547,0.22999954223632812,0.1399993896484375,0.18500518798828125,-0.34999847412109375,0.2650003433227539,0.8500003814697266,-0.01000213623046875,-0.29000091552734375,-0.09999847412109375,-0.6324996948242188,1.4661941528320312,0.5300025939941406
2015-04-17,-1.6000003814697266,-5.459999084472656,-1.375,-2.7199974060058594,-0.13000011444091797,-5.450004577636719,-2.2749977111816406,-1.0550003051757812,-0.1849994659423828,-0.21500015258789062,-4.2649993896484375,-4.400001525878906,-1.4300003051757812,-2.270000457763672,-3.029998779296875,-1.5799980163574219,-2.720001220703125,-0.9099998474121094,-2.1999969482421875,-6.129997253417969,-2.4000015258789062,-2.0400009155273438,-0.31999969482421875,-0.6999988555908203,-3.1299972534179688,-3.0,-2.826202392578125,-4.447498321533203,-2.1915969848632812,-0.8000030517578125
2015-04-20,0.25,-0.595001220703125,-0.26000022888183594,-0.31999969482421875,-0.25,-0.5699996948242188,-0.875,0.00499725341796875,-0.07000064849853516,-0.2349996566772461,-1.4899978637695312,-0.8499984741210938,-0.33499908447265625,-0.09999847412109375,-0.04000091552734375,0.4900016784667969,0.5200042724609375,-0.32050037384033203,0.1699981689453125,-1.0250015258789062,-0.9499969482421875,-0.009998321533203125,-0.1700000762939453,-0.6500015258789062,0.05999755859375,-0.5699996948242188,-0.18379974365234375,-0.3800010681152344,0.47620391845703125,0.5
2015-04-21,-0.1399993896484375,-0.18499755859375,-0.15999984741210938,-1.0400009155273438,-0.10000038146972656,-1.6399993896484375,-1.2099990844726562,0.01000213623046875,-0.1700000762939453,-0.15999984741210938,-1.6650047302246094,-0.8000030517578125,-0.5750007629394531,-0.4399986267089844,-0.55999755859375,-0.9800033569335938,0.25,-0.04949951171875,0.0800018310546875,-1.345001220703125,-0.7995071411132812,-0.7400016784667969,-0.4700002670288086,-0.529998779296875,-0.43000030517578125,-0.75,-0.6800003051757812,-0.9443740844726562,-1.0658035278320312,-0.7199974060058594
